frame_diff,frame_number,side,Rally,,
1,1790,left,,,
1,1791,left,,,
1,1792,left,,,
1,1793,left,,,
1,1794,left,,,
1,1795,left,,,
1,1796,left,,,
1,1805,right,,,
2,1807,right,,,
2,1809,right,,,
1,1810,right,,,
3,1813,right,,,
1,1814,right,,,
1,1815,right,,,
1,1816,right,,,
1,1817,left,,,
1,1818,left,,,
1,1819,left,,,
1,1820,left,,,
1,1821,left,,,
1,1822,left,,,
1,1823,left,,,
1,1824,left,,,
3,1827,left,,,
1,1828,left,,,
1,1829,left,,,
1,1830,left,,,
1,1832,right,,,
1,1833,right,,,
1,1834,right,,,
1,1835,right,,,
1,1836,right,,,
1,1837,right,,,
1,1838,right,,,
1,1839,right,,,
1,1840,right,,,
1,1841,right,,,
1,1842,right,,,
1,1843,right,,,
4,1847,right,,,
1,1848,right,,,
1,1849,right,,,
1,1850,right,,,
1,1851,left,,,
1,1852,left,,,
1,1853,left,,,
2,1856,right,,,
1,1857,right,,,
1,1859,right,,,
1,1868,right,,,
2,1871,right,,,
4,1875,right,,,
1,1876,left,,,
1,1877,left,,,
1,1878,left,,,
1,1879,left,,,
1,1880,left,,,
1,1881,left,,,
1,1882,left,,,
1,1883,left,,,
2,1888,left,,,
1,1889,left,,,
2,1892,right,,,
1,1893,right,,,
1,1894,right,,,
1,1895,right,,,
1,1896,right,,,
1,1897,right,,,
1,1898,right,,,
1,1899,right,,,
5,1907,left,,,
2,1909,left,,,
1,1910,left,,,
1,1911,left,,,
1,1912,left,,,
3,1920,right,,,
1,1921,right,,,
1,1922,right,,,
1,1923,right,,,
1,1924,right,,,
1,1927,right,,,
1,1928,right,,,
1,1929,right,,,
1,1930,right,,,
1,1931,right,,,
1,1932,left,,,
1,1933,left,,,
1,1934,left,,,
1,1935,left,,,
1,1936,left,,,
1,1937,left,,,
1,1938,left,,,
1,1939,left,,,
2,1942,left,,,
2,1944,left,,,
1,1945,left,,,
1,1947,right,,,
1,1948,right,,,
1,1949,right,,,
1,1950,right,,,
1,1951,right,,,
1,1952,right,,,
5,1957,right,,,
1,1958,right,,,
1,1959,left,,,
1,1960,left,,,
1,1961,left,,,
1,1962,left,,,
1,1963,left,,,
1,1964,left,,,
1,1965,left,,,
1,1966,left,,,
1,1968,left,,,
1,1969,left,,,
2,1971,left,,,
1,1973,right,,,
1,1974,right,,,
1,1975,right,,,
1,1976,right,,,
1,1977,right,,,
1,1978,right,,,
1,1979,right,,,
1,1980,right,,,
1,1981,right,,,
1,1982,right,,,
4,1986,right,,,
1,1987,right,,,
1,1988,right,,,
1,1989,left,,,
2,1991,left,,,
1,1992,left,,,
1,1993,left,,,
1,1994,left,,,
1,1995,left,,,
2,2002,right,,,
1,2003,right,,,
1,2004,right,,,
1,2005,right,,,
1,2006,right,,,
1,2007,right,,,
1,2008,right,,,
1,2009,right,,,
1,2010,right,,,
2,2012,right,,,
